"address_id","address1","address2","city","state","zip_code","zip_extension","county"
"10","421 NW 13th St, Suite 210"," ","OKLAHOMA CITY","OK","73103"," ","USA"
"11","120 N ROBINSON STE 735"," ","OKLAHOMA CITY","OK","73102"," ","USA"
"12","115 SW 89TH ST"," ","OKLAHOMA CITY","OK","73139","8511","USA"
"13","735 1ST NATL BLDG"," ","OKLAHOMA CITY","OK","73102"," ","USA"
"14","735 FIRST NATIONAL BUILDING"," ","OKLAHOMA CITY","OK","73102"," ","USA"
"15","613 SW 112TH ST"," ","OKLAHOMA CITY","OK","73170"," ","USA"
"16","216 WILDEWOOD TERRACE"," ","OKLAHOMA CITY","OK","73111"," ","USA"
"4871291","301 SW 46TH ST"," ","OKLAHOMA CITY","OK","73109"," ","USA"
"4871339","23671 WEST 105TH STREET SOUTH"," ","SAPULPA","OK","74066"," ","USA"
"4871340","23671 WEST 105TH STREET SOUTH"," ","SAPULPA","OK","74066"," ","USA"
"4871787","5560 NW 72ND ST","BUILDING B","WARR ACRES","OK","73132"," ","USA"
"4871788","5560 NW 72ND ST","BLDG B","WARR ACRES","OK","73132"," ","USA"
